,modelo,ano_modelo,marca,modelo_raw
150,PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P AUT.,2018.0,GM - CHEVROLET,PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P AUT.
151,RANGER XLSCD4A22C,2020.0,FORD,I/FORD RANGER XLSCD4A22C
154,ETIOS HB X VSC MT,2019.0,TOYOTA,TOYOTA/ETIOS HB X VSC MT
159,PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P,2018.0,GM - CHEVROLET,PRISMA SED. LTZ 1.4 8V FLEXPOWER 4P
160,TORO FREEDOM 2.4 16V FLEX AUT.,2018.0,FIAT,TORO FREEDOM 2.4 16V FLEX AUT.
162,ARGO DRIVE GSR 1.3 8V FLEX,2018.0,FIAT,ARGO DRIVE GSR 1.3 8V FLEX
167,HB20 OCEAN 1.0 FLEX 12V 5P MEC.,2017.0,HYUNDAI,HB20 OCEAN 1.0 FLEX 12V 5P MEC.
169,KWID ZEN 1.0 FLEX 12V 5P MEC.,2019.0,RENAULT,KWID ZEN 1.0 FLEX 12V 5P MEC.
170,CRUZE HB SPORT LT 1.8 16V FLEXP. 5P AUT.,2020.0,GM - CHEVROLET,CRUZE HB SPORT LT 1.8 16V FLEXP. 5P AUT
171,SPIN LT 1.8 8V ECONO.FLEX 5P AUT.,2019.0,GM - CHEVROLET,SPIN LT 1.8 8V ECONO.FLEX 5P AUT.
176,VOYAGE TRENDLINE 1.6 T.FLEX 8V 4P,2018.0,VW - VOLKSWAGEN,VOYAGE TRENDLINE 1.6 T.FLEX 8V 4P
177,GOL COMFORT. I MOTION 1.6 T. FLEX 8V 5P,2018.0,VW - VOLKSWAGEN,GOL COMFORT. I MOTION 1.6 T. FLEX 8V 5P
179,SAVEIRO TRENDLINE 1.6 T.FLEX 8V,2018.0,VW - VOLKSWAGEN,SAVEIRO TRENDLINE 1.6 T.FLEX 8V
181,TORO VOLCANO 2.0 16V 4X4 TB DIESEL AUT.,2019.0,FIAT,TORO VOLCANO 2.0 16V 4X4 TB DIESEL AUT.
182,GOL 1.0 FLEX 12V 5P,2020.0,VW - VOLKSWAGEN,GOL 1.0 FLEX 12V 5P
184,JOY HATCH 1.0 8V FLEX 5P MEC.,2020.0,GM - CHEVROLET,JOY HATCH 1.0 8V FLEX 5P MEC.
185,VIRTUS 1.6 MSI FLEX 16V 4P AUT.,2020.0,VW - VOLKSWAGEN,VIRTUS 1.6 MSI FLEX 16V 4P AUT.
186,TORO FREEDOM 2.0 16V 4X4 TB DIESEL AUT.,2019.0,FIAT,TORO FREEDOM 2.0 16V 4X4 TB DIESEL AUT.
187,HR-V LX 1.8 FLEXONE 16V 5P AUT.,2017.0,HONDA,HR-V LX 1.8 FLEXONE 16V 5P AUT.
189,JETTA GLI 350 TSI 2.0 16V 4P AUT.,2021.0,VW - VOLKSWAGEN,JETTA GLI 350 TSI 2.0 16V 4P AUT.
190,HR-V EX 1.5 SENSING 16V 5P AUT.,2020.0,HONDA,HR-V EX 1.5 SENSING 16V 5P AUT.
192,ONIX HATCH PREM. 1.0 12V TB FLEX 5P AUT.,2019.0,GM - CHEVROLET,ONIX HATCH PREM. 1.0 12V TB FLEX 5P AUT.
